t=2025-12-05T05:47:55+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-05T05:47:55+0530 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/shivansh/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="using configuration at default config path" path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="open config file" path=/Users/shivansh/.ngrok2/ngrok.yml err=nil
t=2025-12-05T05:47:55+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-05T05:47:55+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-05T06:34:19+0530 lvl=info msg="join connections" obj=join id=1d7836c4ca54 l=127.0.0.1:3000 r=49.43.162.118:60004
t=2025-12-05T06:34:24+0530 lvl=info msg="join connections" obj=join id=ad664c8dd67c l=127.0.0.1:3000 r=49.43.162.118:60085
t=2025-12-05T06:34:24+0530 lvl=info msg="join connections" obj=join id=bd53b37c7d7a l=127.0.0.1:3000 r=49.43.162.118:60085
t=2025-12-05T06:34:24+0530 lvl=info msg="join connections" obj=join id=a932fa329463 l=127.0.0.1:3000 r=49.43.162.118:60085
t=2025-12-05T06:34:25+0530 lvl=info msg="join connections" obj=join id=e756f3432d54 l=127.0.0.1:3000 r=49.43.162.118:60085
t=2025-12-05T06:34:36+0530 lvl=info msg="join connections" obj=join id=11c1d8c6a011 l=127.0.0.1:3000 r=49.43.162.118:13507
t=2025-12-05T06:34:43+0530 lvl=info msg="join connections" obj=join id=a3ad90793085 l=127.0.0.1:3000 r=49.43.162.118:1030
t=2025-12-05T06:34:49+0530 lvl=info msg="join connections" obj=join id=1c680726ba87 l=127.0.0.1:3000 r=49.43.162.118:60421
t=2025-12-05T06:34:51+0530 lvl=info msg="join connections" obj=join id=f390a541abfb l=127.0.0.1:3000 r=49.43.162.118:60421
t=2025-12-05T06:34:51+0530 lvl=info msg="join connections" obj=join id=c6773cf77093 l=127.0.0.1:3000 r=49.43.162.118:60421
t=2025-12-05T06:34:51+0530 lvl=info msg="join connections" obj=join id=8b901b1ba9d8 l=127.0.0.1:3000 r=49.43.162.118:60421
t=2025-12-05T06:34:51+0530 lvl=info msg="join connections" obj=join id=5b36d1c7f8e0 l=127.0.0.1:3000 r=49.43.162.118:60421
t=2025-12-05T06:35:02+0530 lvl=info msg="join connections" obj=join id=8537f542dc12 l=127.0.0.1:3000 r=49.43.162.118:60586
t=2025-12-05T06:35:02+0530 lvl=info msg="join connections" obj=join id=2aa146f15a39 l=127.0.0.1:3000 r=49.43.162.118:60586
t=2025-12-05T06:35:02+0530 lvl=info msg="join connections" obj=join id=8c7e4e003b16 l=127.0.0.1:3000 r=49.43.162.118:60586
t=2025-12-05T06:35:02+0530 lvl=info msg="join connections" obj=join id=c14769c5326e l=127.0.0.1:3000 r=49.43.162.118:60586
t=2025-12-05T06:35:02+0530 lvl=info msg="join connections" obj=join id=85619b9d81e9 l=127.0.0.1:3000 r=49.43.162.118:60586
t=2025-12-05T06:35:09+0530 lvl=info msg="join connections" obj=join id=717b07eba83d l=127.0.0.1:3000 r=49.43.162.118:60696
t=2025-12-05T06:35:11+0530 lvl=info msg="join connections" obj=join id=ecd4753d9d6a l=127.0.0.1:3000 r=49.43.162.118:60696
t=2025-12-05T06:35:11+0530 lvl=info msg="join connections" obj=join id=92ecbfb21edc l=127.0.0.1:3000 r=49.43.162.118:60696
t=2025-12-05T06:35:12+0530 lvl=info msg="join connections" obj=join id=e3de11d107d1 l=127.0.0.1:3000 r=49.43.162.118:60696
t=2025-12-05T06:35:19+0530 lvl=info msg="join connections" obj=join id=93a38bc80443 l=127.0.0.1:3000 r=49.43.162.118:40391
t=2025-12-05T06:35:19+0530 lvl=info msg="join connections" obj=join id=9d15dad39a4c l=127.0.0.1:3000 r=49.43.162.118:40391
